District	Region
El Paso ISD	22
Electra ISD	7
Elgin ISD	26
Elkhart ISD	21
Elysian Fields ISD	4
Ennis ISD	20
Era ISD	2
Etoile ISD	21
Eula ISD	6
Eustace ISD	3
Evadale ISD	10
Evant ISD	8
Everman ISD	30
Excelsior ISD	21
Ezzell ISD	18
Fabens ISD	22
Fairfield ISD	8
Falls City ISD	12
Fannindel ISD	25
Farmersville ISD	25
Farwell ISD	16
Fayetteville ISD	18
Ferris ISD	20
Flatonia ISD	18
Florence ISD	32
Floresville ISD	12
Flour Bluff ISD	14
Floydada ISD	16
Follett ISD	1
Forestburg ISD	2
Forney ISD	3
Forsan ISD	6
Fort Bend ISD	13
Fort Elliott Cons ISD	1
Fort Worth ISD	5
Franklin ISD	8
Frankston ISD	21
Fredericksburg ISD	29
Freer ISD	14
Frenship ISD	16
Friendswood ISD	17
Friona ISD	1
Frisco ISD	24
Frost ISD	8
Fruitvale ISD	3
Ft Davis ISD	22
Ft Hancock ISD	22
Ft Sam Houston ISD	12
Ft Stockton ISD	6
Gainesville ISD	2
Galena Park ISD	33
Galveston ISD	17
Ganado ISD	13
Garland ISD	3
Garner ISD	7
Garrison ISD	21
Gary ISD	21
Gatesville ISD	8
Gause ISD	26
George West ISD	14
Georgetown ISD	26
Gholson ISD	8
Giddings ISD	26
Gilmer ISD	4
Gladewater ISD	4
Glasscock ISD	6
Glen Rose ISD	30
Godley ISD	30
Gold Burg ISD	2
Goldthwaite ISD	7
Goliad ISD	14
Gonzales ISD	18
Goodrich ISD	10
Goose Creek Consolidated ISD	19
Gordon ISD	7
Gorman ISD	7
Grady ISD	6
Graford ISD	7
Graham ISD	7
Granbury ISD	30
Grand Prairie ISD	5
Grand Saline ISD	3
Grandfalls-Royalty ISD	6
Grandview ISD	30
Grandview-Hopkins ISD	1
Granger ISD	26
Grape Creek ISD	6
Grapeland ISD	21
Grapevine-Colleyville ISD	31
Greenville ISD	3
Greenwood ISD	6
Gregory-Portland ISD	14
Groesbeck ISD	8
Groom ISD	1
Groveton ISD	21
Gruver ISD	1
Gunter ISD	25
Gustine ISD	7
Guthrie CSD	16
Hale Center ISD	16
Hallettsville ISD	18
Hallsburg ISD	8
Hallsville ISD	21
Hamilton ISD	7
Hamlin ISD	7
Hamshire-Fannett ISD	10
Happy ISD	1
Hardin ISD	10
Hardin-Jefferson ISD	10
Harlandale ISD	11
Harleton ISD	4
Harlingen Cons ISD	28
Harmony ISD	4
Harper ISD	29
Harrold ISD	7
Hart ISD	16
Hartley ISD	1
Harts Bluff ISD	4
Haskell Cons ISD	7
Hawkins ISD	4
Hawley ISD	6
Hays Cons ISD	18
Hearne ISD	8
Hedley ISD	1
Hemphill ISD	21
Hempstead ISD	27
Henderson ISD	21
Henrietta ISD	7
Hereford ISD	1
Hermleigh ISD	6
Hico ISD	7
Hidalgo ISD	15
Higgins ISD	1
High Island ISD	10
Highland ISD	6
Highland Park ISD (Dallas)	20
Highland Park ISD (Potter)	1
Hillsboro ISD	8
Hitchcock ISD	13
Holland ISD	8
Holliday ISD	7
Hondo ISD	11
Honey Grove ISD	25
Hooks ISD	4
Houston ISD	23
Howe ISD	25
Hubbard ISD (Bowie)	4
Hubbard ISD (Hill)	8
Huckabay ISD	7
Hudson ISD	10
Huffman ISD	10
Hughes Springs ISD	4
Hull-Daisetta ISD	10
Humble ISD	33
Hunt ISD	29
Huntington ISD	21
Huntsville ISD	9
Hurst-Euless-Bedford ISD	31
Hutto ISD	26
Idalou ISD	16
Industrial ISD	13
Ingleside ISD	14
Ingram ISD	29
Iola ISD	8
Iowa Park Cons ISD	7
Ira ISD	6
Iraan-Sheffield ISD	6
Iredell ISD	8
Irion County ISD	6
Irving ISD	31
Italy ISD	8
Itasca ISD	8
Jacksboro ISD	7
Jacksonville ISD	21
Jarrell ISD	8
Jasper ISD	10
Jayton-Girard ISD	16
Jefferson ISD	4
Jim Hogg County ISD	14
Jim Ned Cons ISD	6
Joaquin ISD	21
Johnson City ISD	29
Jonesboro ISD	8
Joshua ISD	30
Jourdanton ISD	11
Judson ISD	11
Junction ISD	29
Karnack ISD	4
Karnes City ISD	12
Katy ISD	23
Kaufman ISD	3
Keene ISD	30
Keller ISD	30
Kelton ISD	1
Kemp ISD	3
Kenedy County Wide CSD	28
Kenedy ISD	12
Kennard ISD	21
Kennedale ISD	30
Kerens ISD	8
Kermit ISD	6
Kerrville ISD	29
Kilgore ISD	4
Killeen ISD	8
Kingsville ISD	14
Kirbyville ISD	10
Klein ISD	9
Klondike ISD	6
Knippa ISD	11
Knox City-O`Brien ISD	7
Kopperl ISD	8
Kountze ISD	10
Kress ISD	1
Krum ISD	2
La Feria ISD	28
La Gloria ISD	14
La Grange ISD	18
La Joya ISD	15
La Porte ISD	19
La Pryor ISD	11
La Vega ISD	8
La Vernia ISD	12
La Villa ISD	28
Lackland ISD	11
Lago Vista ISD	32
Lake Dallas ISD	2
Lake Travis ISD	32
Lake Worth ISD	30
Lamar Cons ISD	13
Lamesa ISD	16
Lampasas ISD	32
Lancaster ISD	20
Laneville ISD	21
Lapoynor ISD	21
Laredo ISD	14
Lasara ISD	28
Latexo ISD	21
Lazbuddie ISD	1
Leakey ISD	11
Leander ISD	32
Leary ISD	4
Lefors ISD	1
Leggett ISD	10
Leon ISD	8
Leonard ISD	25
Levelland ISD	16
Leveretts Chapel ISD	21
Lewisville ISD	2
Lexington ISD	26
Liberty Hill ISD	32
